No.        Matricula    Nombre          Ap. Paterno          Ao. Materno     Sexo       Posicion   Estado   Edad  Num. Cel  
1          300019       MIGUEL          HIDALGO              FLORES          HOMBRE     InvCien    DF         21    6461016520   
2          300044       PAULA           ROSALES              HIDALGO         MUJER      EspLog     CL         22    6461010870   
3          300046       ALEJANDRA       REYES                DURAN           MUJER      TecSup     SR         23    6461005412   
4          300077       CARLOS          MORA                 VALENCIA        HOMBRE     Arquitect  DF         43    6461006753   
5          300086       JOSE            GOMEZ                MACIAS          HOMBRE     IngElec    YN         40    6461017883   
6          300087       BEATRIZ         AGUILAR              VALENCIA        MUJER      Abogado    GR         37    6461027023   
7          300092       SOFIA           ROMAN                ALVAREZ         MUJER      EspSeg     DF         41    6461028675   
8          300112       MIGUEL          PACHECO              VEGA            HOMBRE     AnlVent    YN         49    6461015089   
9          300122       RAUL            SERRANO              BARRIOS         HOMBRE     GteProj    TL         44    6461029062   
10         300133       ROSA            LOPEZ                ESPINOZA        MUJER      ProfPrim   TC         46    6461011987   
11         300142       ANA             CERVANTES            DELGADO         MUJER      ChefEje    MC         49    6461007730   
12         300148       MARIO           URIBE                VARGAS          HOMBRE     DevSoft    MN         32    6461007812   
13         300158       SOFIA           LEON                 VALDES          MUJER      Contado    MC         26    6461030988   
14         300171       MARIO           SERRANO              RAMOS           HOMBRE     TrabSoc    CS         28    6461016729   
15         300178       MARIO           PARDO                CORDERO         HOMBRE     AnMktDg    QT         26    6461010069   
16         300182       GLORIA          LEAL                 PARDO           MUJER      PsOrg      NT         28    6461007186   
17         300187       ARMANDO         CONTRERAS            GONZALES        HOMBRE     AnlSist    YN         50    6461020450   
18         300197       CLARA           GUERRERO             ROJAS           MUJER      DisUX      PL         29    6461029019   
19         300209       HECTOR          SILVA                DURAN           HOMBRE     EspLog     CL         38    6461024691   
20         300224       ALEJANDRO       IGLESIAS             SUAREZ          HOMBRE     PsOrg      VZ         26    6461025510   
21         300244       SALVADOR        RAMOS                CHACON          HOMBRE     Traduct    GR         44    6461007814   
22         300245       GABRIELA        ORTIZ                ROMERO          MUJER      EspRRHH    QR         48    6461015364   
23         300250       PILAR           HERRERA              ALVARADO        MUJER      TrabSoc    BC         35    6461010009   
24         300271       PATRICIA        ESPINOZA             REYES           MUJER      DisGraf    CC         43    6461006922   
25         300297       NATALIA         SANDOVAL             LEAL            MUJER      EspRRHH    DG         44    6461018431   
26         300310       ROBERTO         SALAZAR              URIBE           HOMBRE     EspRRHH    MC         42    6461029569   
27         300311       MARIO           CERVANTES            BAUTISTA        HOMBRE     RepVInt    MS         21    6461010044   
28         300319       ROBERTO         OSORIO               ALVAREZ         HOMBRE     Arquitect  CL         33    6461001038   
29         300311       MARIO           CERVANTES            BAUTISTA        HOMBRE     RepVInt    MS         21    6461010044   
30         300319       ROBERTO         OSORIO               ALVAREZ         HOMBRE     Arquitect  CL         33    6461001038   
31         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
32         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
33         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
34         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
35         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
36         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
37         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
38         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
39         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
40         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
41         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
42         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
43         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
44         318084       BEATRIZ         GUERRERO             PENA            MUJER      IngRed     OC         36    6461008420   
45         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
46         331399       ALEJANDRO       IGLESIAS             ARIAS           HOMBRE     RepVInt    BC         33    6461010412   
47         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
48         317288       MARTA           SOLIS                FERNANDEZ       MUJER      Contado    PL         38    6461000219   
49         331399       ALEJANDRO       IGLESIAS             ARIAS           HOMBRE     RepVInt    BC         33    6461010412   
50         331399       ALEJANDRO       IGLESIAS             ARIAS           HOMBRE     RepVInt    BC         33    6461010412   
51         331399       ALEJANDRO       IGLESIAS             ARIAS           HOMBRE     RepVInt    BC         33    6461010412   
52         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
53         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
54         318084       BEATRIZ         GUERRERO             PENA            MUJER      IngRed     OC         36    6461008420   
55         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
56         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
57         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
58         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
59         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
60         331399       ALEJANDRO       IGLESIAS             ARIAS           HOMBRE     RepVInt    BC         33    6461010412   
61         331399       ALEJANDRO       IGLESIAS             ARIAS           HOMBRE     RepVInt    BC         33    6461010412   
62         314779       ENRIQUE         CERVANTES            CABRERA         HOMBRE     Arquitect  MS         27    6461001601   
63         300019       MIGUEL          HIDALGO              FLORES          HOMBRE     InvCien    DF         21    6461016520   
64         300044       PAULA           ROSALES              HIDALGO         MUJER      EspLog     CL         22    6461010870   
65         300046       ALEJANDRA       REYES                DURAN           MUJER      TecSup     SR         23    6461005412   
66         300077       CARLOS          MORA                 VALENCIA        HOMBRE     Arquitect  DF         43    6461006753   
67         300086       JOSE            GOMEZ                MACIAS          HOMBRE     IngElec    YN         40    6461017883   
68         300087       BEATRIZ         AGUILAR              VALENCIA        MUJER      Abogado    GR         37    6461027023   
69         300092       SOFIA           ROMAN                ALVAREZ         MUJER      EspSeg     DF         41    6461028675   
70         300112       MIGUEL          PACHECO              VEGA            HOMBRE     AnlVent    YN         49    6461015089   
71         300122       RAUL            SERRANO              BARRIOS         HOMBRE     GteProj    TL         44    6461029062   
72         300133       ROSA            LOPEZ                ESPINOZA        MUJER      ProfPrim   TC         46    6461011987   
73         300142       ANA             CERVANTES            DELGADO         MUJER      ChefEje    MC         49    6461007730   
74         300148       MARIO           URIBE                VARGAS          HOMBRE     DevSoft    MN         32    6461007812   
75         300158       SOFIA           LEON                 VALDES          MUJER      Contado    MC         26    6461030988   
76         300171       MARIO           SERRANO              RAMOS           HOMBRE     TrabSoc    CS         28    6461016729   
77         300178       MARIO           PARDO                CORDERO         HOMBRE     AnMktDg    QT         26    6461010069   
78         300182       GLORIA          LEAL                 PARDO           MUJER      PsOrg      NT         28    6461007186   
79         300187       ARMANDO         CONTRERAS            GONZALES        HOMBRE     AnlSist    YN         50    6461020450   
80         300197       CLARA           GUERRERO             ROJAS           MUJER      DisUX      PL         29    6461029019   
81         300209       HECTOR          SILVA                DURAN           HOMBRE     EspLog     CL         38    6461024691   
82         300224       ALEJANDRO       IGLESIAS             SUAREZ          HOMBRE     PsOrg      VZ         26    6461025510   
83         300244       SALVADOR        RAMOS                CHACON          HOMBRE     Traduct    GR         44    6461007814   
84         300245       GABRIELA        ORTIZ                ROMERO          MUJER      EspRRHH    QR         48    6461015364   
85         300250       PILAR           HERRERA              ALVARADO        MUJER      TrabSoc    BC         35    6461010009   
86         300271       PATRICIA        ESPINOZA             REYES           MUJER      DisGraf    CC         43    6461006922   
